SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTSARMIX,2023-10-17,1,1,16,16,,,,,2023-03-05,0,B,C,,W,,,NY,CAIRO PRINCE,CAIRO PRINCE,A LOT OF FABRIC,A LOT OF FABRIC,GIROLAMO,GIROLAMO,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT FOR ANDY & SUSAN BEADNELL,,,,NOT SOLD,,,,38000,,https://vimeo.com/874650266?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,17,17,,,,,2023-03-21,0,B,F,,W,,,NY,TACITUS,TACITUS,AMANDA LANE,AMANDA LANE,INTO MISCHIEF,INTO MISCHIEF,,,,,,TURNING POINT BLOODSTOCK,,TURNING POINT BLOODSTOCK AGENT,,,,TOGA PARTY STABLE,,,,22000,,https://vimeo.com/873172429?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,18,18,,,,,2023-04-20,0,B,F,,W,,,NY,MENDELSSOHN,MENDELSSOHN,ANDARIEL (IRE),ANDARIEL (IRE),EXCELEBRATION (IRE),EXCELEBRATION (IRE),,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,19,19,ANIMAL APPEAL,ANIMAL APPEAL,,,2012-03-20,11,B,M,,B,,,NY,LEROIDESANIMAUX (BRZ),LEROIDESANIMAUX (BRZ),APPEALING CARD,APPEALING CARD,VALID APPEAL,VALID APPEAL,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,RACHID BROTHERS,,,,9000,,,,,T,2012
2023,Y,23FTSARMIX,2023-10-17,1,1,20,20,,,,,2023-03-31,0,B,C,,W,,,NY,ROCK YOUR WORLD,ROCK YOUR WORLD,ARISTRA,ARISTRA,AFLEET ALEX,AFLEET ALEX,,,,,,SEQUEL NEW YORK,,SEQUEL NEW YORK AGENT VII,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,21,21,ASSURED,ASSURED,,,2010-02-13,13,B,M,,B,,,KY,EMPIRE MAKER,EMPIRE MAKER,SLEEP EASY,SLEEP EASY,SEATTLE SLEW,SEATTLE SLEW,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,2010
2023,Y,23FTSARMIX,2023-10-17,1,1,22,22,,,,,2023-03-12,0,B,F,,W,,,NY,CENTRAL BANKER,CENTRAL BANKER,AUGUST GALA,AUGUST GALA,BROKEN VOW,BROKEN VOW,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,NOT SOLD,,,,18000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,23,23,,,,,2023-02-23,0,B,C,,W,,,NY,CONNECT,CONNECT,AWESOME AURORA,AWESOME AURORA,AWESOME AGAIN,AWESOME AGAIN,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,24,24,,,,,2023-04-28,0,B,C,,W,,,NY,GALILEAN,GALILEAN,AWESOME D'ORO (IRE),AWESOME D'ORO (IRE),MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,FERNANDO AGUAYO,,,,1500,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,25,25,BAHAMA BANKS,BAHAMA BANKS,,,2019-03-05,4,GRR,M,,B,,,KY,ARROGATE,ARROGATE,BANDANA,BANDANA,WAR FRONT,WAR FRONT,,,,,,SEQUEL NEW YORK,,SEQUEL NEW YORK AGENT FOR JUDDMONTE,,,,GLEN HILL FARM,,,,170000,,https://youtu.be/LTAj20XiQLU,,,T,2019
2023,Y,23FTSARMIX,2023-10-17,1,1,26,26,,,,,2023-03-30,0,B,F,,W,,,NY,UNIFIED,UNIFIED,BAJAN BEACH,BAJAN BEACH,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,12000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,27,27,BALLACOLLA,BALLACOLLA,,,2018-02-19,5,B,M,,B,,,KY,MUNNINGS,MUNNINGS,VENTOUX (GB),VENTOUX (GB),GALILEO (IRE),GALILEO (IRE),,,,,,SEQUEL NEW YORK,,SEQUEL NEW YORK AGENT FOR JUDDMONTE,,,,MCMAHON AND HILL BLOODSTOCK AGT,,,,130000,,https://youtu.be/XhYBb_7cHRc,,,T,2018
2023,Y,23FTSARMIX,2023-10-17,1,1,28,28,,,,,2023-02-20,0,DKB,C,,W,,,NY,UNIFIED,UNIFIED,BARES TRIPPER,BARES TRIPPER,SKY MESA,SKY MESA,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,BLAS PEREZ STABLES,,,,3000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,29,29,BASIN BAY,BASIN BAY,,,2023-04-03,0,B,C,,W,,,NY,BASIN,BASIN,UNIQUELY MINE,UNIQUELY MINE,MINESHAFT,MINESHAFT,,,,,,VINERY SALES,,VINERY SALES AGENT XXIV,,,,NOT SOLD,,,,22000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,30,30,BEAM OF LIGHT,BEAM OF LIGHT,,,2017-03-21,6,DKB,M,,B,,,KY,TWIRLING CANDY,TWIRLING CANDY,AROUSING,AROUSING,CEE'S TIZZY,CEE'S TIZZY,,,,,,SEQUEL NEW YORK,,SEQUEL NEW YORK AGENT VI,,,,AMBER ACORD,,,,2000,,https://youtu.be/AmrvAJewkn8,,,T,2017
2023,Y,23FTSARMIX,2023-10-17,1,1,31,31,,,,,2023-04-14,0,B,F,,W,,,NY,INDEPENDENCE HALL,INDEPENDENCE HALL,BEAM OF LIGHT,BEAM OF LIGHT,TWIRLING CANDY,TWIRLING CANDY,,,,,,SEQUEL NEW YORK,,SEQUEL NEW YORK AGENT VI,,,,BRONCO BLOODSTOCK,,,,17000,,https://youtu.be/JNitPCq-f_s,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,32,32,,,,,2023-04-11,0,B,C,,W,,,NY,ROCK YOUR WORLD,ROCK YOUR WORLD,BEARS MEASURE,BEARS MEASURE,TIZNOW,TIZNOW,,,,,,SARATOGA GLEN FARM LLC,,SARATOGA GLEN FARM AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,33,33,BEE FAST,BEE FAST,,,2018-05-14,5,CH,M,,B,,,KY,ENGLISH CHANNEL,ENGLISH CHANNEL,IN DY RITZ,IN DY RITZ,A.P. INDY,A.P. INDY,,,,,,VINERY SALES,,VINERY SALES AGENT XXV,,,,OUT,,,,0,,,,,T,2018
2023,Y,23FTSARMIX,2023-10-17,1,1,34,34,,,,,2023-03-25,0,B,C,,W,,,NY,PAYNTER,PAYNTER,BET ON A CHICK,BET ON A CHICK,ALPHABET SOUP,ALPHABET SOUP,,,,,,VINERY SALES,,VINERY SALES AGENT FOR WINDHORSE THOROUGHBREDS LLC,,,,NOT SOLD,,,,7000,,https://vimeo.com/872928421?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,35,35,BIG Q,BIG Q,,,2017-01-20,6,B,M,,B,,,NY,BIG BROWN,BIG BROWN,GABY Q,GABY Q,FORESTRY,FORESTRY,,,,,,STUART MORRIS,,STUART MORRIS AGENT I,,,,COSMO K WICKES,,,,50000,,https://www.youtube.com/watch?v=-cAyRDu7iVE&list=PLQwjqm7md6-yImLFwX6oVAgjLCkHikRU4&index=1,,,T,2017
2023,Y,23FTSARMIX,2023-10-17,1,1,36,36,,,,,2023-03-04,0,DKB,F,,W,,,NY,GALILEAN,GALILEAN,BILEAPS AND BOUNDS,BILEAPS AND BOUNDS,DISCO RICO,DISCO RICO,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,1000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,37,37,,,,,2023-04-03,0,GRR,C,,W,,,NY,SOLOMINI,SOLOMINI,BILLIEHOLIDAYBLUES,BILLIEHOLIDAYBLUES,HARLEM ROCKER,HARLEM ROCKER,,,,,,HARRY L LANDRY BLOODSTOCK LLC,,HARRY L. LANDRY BLOODSTOCK LLC AGENT,,,,NOT SOLD,,,,9000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,38,38,,,,,2023-01-26,0,DKB,C,,W,,,NY,UNION RAGS,UNION RAGS,BITACORA,BITACORA,DOMINUS,DOMINUS,,,,,,STUART MORRIS,,STUART MORRIS AGENT FOR WALDORF FARM,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,39,39,,,,,2023-04-28,0,B,F,,W,,,NY,SOLOMINI,SOLOMINI,BITTER GOLD,BITTER GOLD,MIDAS EYES,MIDAS EYES,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,2023
