SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEESEPT19,2019-09-14,2,5,1200,1200,,,,,,,CH,F,,Y,,,,Speightstown,Speightstown,Halloween Fun,Halloween Fun,,,,,,,,,,"Stony Point, Agent III ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1201,1201,Moonshiningbright,Moonshiningbright,,,,,CH,C,,Y,,,,Malibu Moon,Malibu Moon,Happy Face,Happy Face,,,,,,,,,,"Taylor Made Sales Agency, Agent CXIX ",,,,"Don Mattox, Agent",,,,80000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1202,1202,Go Huskies,Go Huskies,,,,,B,C,,Y,,,,Lookin At Lucky,Lookin At Lucky,Harlan Showgirl,Harlan Showgirl,,,,,,,,,,"Betz Thoroughbreds, Inc., Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1203,1203,C R's Girl,C R's Girl,,,,,B,F,,Y,,,,Candy Ride (ARG),Candy Ride (ARG),Harlan's Romance,Harlan's Romance,,,,,,,,,,"Warrendale Sales, Agent X ",,,,CJ Thoroughbreds,,,,325000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1204,1204,Meet the Beauty,Meet the Beauty,,,,,GR/RO,F,,Y,,,,Frosted,Frosted,Heart of Destiny,Heart of Destiny,,,,,,,,,,"James B. Keogh (Grovendale), Agent XII ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1205,1205,Frosted Folly,Frosted Folly,,,,,GR/RO,F,,Y,,,,Frosted,Frosted,Helena's Triomphe,Helena's Triomphe,,,,,,,,,,"Anderson Farms, Agent ",,,,"R.N.A. (195,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1206,1206,Standard Bearer,Standard Bearer,,,,,B,F,,Y,,,,Malibu Moon,Malibu Moon,Her Majesty's Flag,Her Majesty's Flag,,,,,,,,,,"Burleson Farms, Agent ",,,,"Thomas Haughey for PTK, LLC",,,,130000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1207,1207,,,,,,,B,C,,Y,,,,Declaration of War,Declaration of War,High Maintenance (GB),High Maintenance (GB),,,,,,,,,,"VanMeter-Gentry Sales, Agent XXII ",,,,"R.N.A. (105,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1208,1208,Rosa Khutor,Rosa Khutor,,,,,DB/BR,F,,Y,,,,Candy Ride (ARG),Candy Ride (ARG),High On the Hill,High On the Hill,,,,,,,,,,"VanMeter-Gentry Sales, Agent XXVI ",,,,Kazakov,,,,37000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1209,1209,McNally,McNally,,,,,DB/BR,F,,Y,,,,Liam's Map,Liam's Map,High Style,High Style,,,,,,,,,,"James B. Keogh (Grovendale), Agent X ",,,,"R.N.A. (90,000)",,,,,,,,,T,
